job_title,job_description
Software Engineer,"Design and develop software systems using data structures and algorithms. Write clean maintainable code. Collaborate with cross-functional teams. Participate in code reviews and system design discussions. Strong problem solving and debugging skills required."
Software Engineer,"Build scalable software solutions with a focus on system design and architecture. Experience with object oriented programming, design patterns, version control with git. Work in an agile team environment with continuous integration."
Software Engineer,"Develop high-quality software applications. Strong knowledge of data structures, algorithms, and software design principles. Experience with multiple programming languages. Participate in sprint planning and retrospectives."
Software Engineer,"Implement and maintain software applications meeting business requirements. Solid understanding of OOP, design patterns, and software architecture. Collaborate with product and design teams. Unit testing and documentation expected."
Software Engineer,"Write efficient and reliable code for complex software projects. Strong analytical and problem solving skills. Experience with software development lifecycle. Mentor junior engineers and contribute to technical architecture decisions."
ML Engineer,"Build and deploy machine learning models at production scale. Experience with Python, TensorFlow or PyTorch, and feature engineering. Design training pipelines and model evaluation frameworks. Work with large datasets and distributed computing."
ML Engineer,"Develop and maintain ML systems for production environments. Strong background in deep learning, NLP, and statistical modeling. Experience with MLOps tools and cloud platforms. Collaborate with data scientists and engineers."
ML Engineer,"Design end-to-end machine learning pipelines from data ingestion to model serving. Expert knowledge of neural networks and deep learning frameworks. Experience with model optimization and deployment using containers. Strong Python skills."
ML Engineer,"Research and implement machine learning algorithms for real-world applications. Experience with feature engineering, model selection, and hyperparameter tuning. Proficient in Python, scikit-learn, and deep learning frameworks. Data pipeline development experience."
ML Engineer,"Build ML infrastructure and tooling to accelerate model development. Experience with distributed training, model monitoring, and A/B testing. Strong background in statistics and machine learning theory. Cloud deployment experience required."
Backend Developer,"Develop and maintain REST APIs using Spring Boot and Java. Design database schemas and optimize SQL queries. Implement authentication and authorization mechanisms. Work with microservices architecture and message queues."
Backend Developer,"Build robust backend services using Node.js or Python frameworks. Experience with database design, API development, and cloud services. Implement security best practices including OAuth and JWT. Collaborate with frontend teams."
Backend Developer,"Design and implement scalable backend systems. Strong experience with relational and NoSQL databases. API development and integration skills. Experience with Docker and container orchestration. Code review and technical documentation."
Backend Developer,"Develop server-side applications with a focus on performance and reliability. Experience with Spring Boot, Django or Flask. Database optimization and migration management. Microservices architecture and event-driven design patterns."
Backend Developer,"Create and maintain backend infrastructure supporting high-traffic applications. Experience with caching strategies, load balancing, and CDN integration. Strong SQL skills and experience with both relational and document databases."
Data Analyst,"Analyze complex datasets to extract business insights using Python and SQL. Create interactive dashboards using Tableau or Power BI. Develop statistical reports and KPI tracking. Collaborate with stakeholders to define metrics and requirements."
